anchor,dmc,hex,name
1048,3776,#CE7535,lt mahogany
1049,301,#af5b2a,md mahogany
1049,3826,#B66E2A,golden brown
1050,3781,#574d2a,dk mocha brown
1060,3811,#B4E0E9,vy lt turquoise
1062,598,#82C1CD,lt turquoise
1064,597,#57a2b1,turquoise
1066,3809,#1E6A79,vy dk turquoise
1066,3810,#3A8594,dk turquoise
1068,3808,#0B525D,ul vy dk turquoise
1070,992,#7ecdaf,vy lt aquamarine
1072,992,#4AAC88,lt aquamarine
1072,992,#4aac88,vy lt aquamarine
1074,3814,#228C69,aquamarine
1074,3848,#3C8B6E,md teal green
1076,3847,#2B6F51,dk teal green
1076,991,#0b6d4c,dk aquamarine
1080,842,#D9C2A8,vy lt beige brown
1082,841,#B39A7D,lt beige brown
1084,840,#967954,md beige brown
1086,839,#6A4726,dk beige brown
1088,938,#3e2200,ul dk coffee brown
1089,3843,#0493BE,electric blue
1089,3845,#04BAAE,md bright turquoise
1090,3846,#44DEC7,lt bright turquoise
1092,964,#b4f2df,lt seagreen
1094,605,#FFAAC5,vy lt cranberry
1096,3753,#cddbe8,ul vy lt antique blue
1098,3801,#F03646,vy dk melon
1203,105,#A5765A,variegated tan/brown
1203,107,#D6527A,variegated carnation
1203,57,#E54A5A,variegated red
1204,107,#D6527A,variegated carnation
1206,115,#82192A,variegated garnet
1209,52,#8C7AB6,variegated violet
1209,94,#B5C385,variegated khaki green
1210,121,#7BB4D6,variegated delft blue
1213,125,#63B47C,variegated seafoam green
1213,99,#BD6C7B,variegated mauve
1215,92,#C5CE95,variegated avocado
1217,103,#426DA2,variegated royal blue
1217,90,#E6BF4A,variegated yellow
1218,106,#F65B3C,variegated coral
1218,111,#BD8E22,variegated mustard
1218,69,#C48C73,variegated terra cotta
1220,51,#CF5232,variegated burnt orange
4146,950,#EBC8B3,lt desert sand
5975,356,#D37863,md terra cotta
5975,3830,#C35A4C,terra cotta
8581,3022,#84835C,md brown gray
8581,646,#707864,dk beaver gray
9046,321,#C32A3C,red
9159,3841,#BFDBE7,pale baby blue
9159,828,#B9E1E9,ul vy very lt blue
9575,758,#eda394,vy lt terra cotta
